Date,AOR_Key,Encounter_Count,Count_of_Event,Sum_Qty_(lbs)
2022-05-01,TUCSON SECTOR,25939.0,98.0,143.9272
2022-05-01,YUMA SECTOR,34371.0,15.0,51.7831
2022-06-01,ATLANTA FIELD,1694.0,12.0,11.822509262012
2022-06-01,BALTIMORE FIELD,1440.0,134.0,596.1585944958338
2022-06-01,BIG BEND,2024.0,70.0,2273.6509
2022-06-01,BLAINE SECTOR,61.0,0.0,0.0
2022-06-01,BOSTON FIELD,1976.0,42.0,4.5981373060816
2022-06-01,BUFFALO FIELD,7076.0,120.0,62.4971270487364
2022-06-01,BUFFALO SECTOR,3.0,1.0,1.3
2022-06-01,CHICAGO FIELD,2912.0,662.0,2814.716325429687
2022-06-01,DEL RIO,45610.0,14.0,0.408
2022-06-01,DETROIT FIELD,914.0,118.0,1513.8777123260559
2022-06-01,DETROIT SECTOR,15.0,6.0,18.058199999999996
2022-06-01,EL CENTRO,6305.0,13.0,188.5975
2022-06-01,EL PASO,28039.0,164.0,1245.4776597260072
2022-06-01,GRAND FORKS,2.0,0.0,0.0
2022-06-01,HAVRE SECTOR,6.0,1.0,0.0006
2022-06-01,HOULTON SECTOR,33.0,4.0,0.0363999999999999
2022-06-01,HOUSTON FIELD,5320.0,58.0,627.1048601665476
2022-06-01,LAREDO FIELD,7516.0,86.0,2644.5680490482314
2022-06-01,LAREDO SECTOR,9886.0,17.0,51.3342
2022-06-01,LOS ANGELES,2332.0,221.0,1717.8799091055166
2022-06-01,MIAMI FIELD,2284.0,781.0,1219.3701131616876
2022-06-01,MIAMI SECTOR,239.0,12.0,59.1592
2022-06-01,NEW ORLEANS,1101.0,121.0,762.8545861779525
2022-06-01,NEW YORK,4518.0,1032.0,4472.465395083192
2022-06-01,PORTLAND FIELD,637.0,3.0,11.75394549853
2022-06-01,PRECLEARANCE FIELD,852.0,33.0,4.7604195771398
2022-06-01,RAMEY SECTOR,137.0,2.0,1958.115
2022-06-01,RIO GRANDE,44663.0,68.0,1504.9491999999998
2022-06-01,SAN DIEGO,19432.0,277.0,7611.557391957879
2022-06-01,SAN FRANCISCO,1451.0,76.0,294.1762223383558
2022-06-01,SAN JUAN,578.0,102.0,6757.06581534817
2022-06-01,SEATTLE FIELD,3016.0,98.0,20235.67290671752
2022-06-01,SPOKANE SECTOR,10.0,4.0,13.1061
2022-06-01,SWANTON SECTOR,93.0,2.0,0.2662
2022-06-01,TAMPA FIELD,697.0,33.0,13.555673334725
2022-06-01,TUCSON FIELD,1019.0,61.0,1224.0661577583235
2022-06-01,TUCSON SECTOR,21270.0,112.0,689.9687
2022-06-01,YUMA SECTOR,22362.0,6.0,0.4101
2022-07-01,ATLANTA FIELD,1261.0,17.0,89.6838497655642
2022-07-01,BALTIMORE FIELD,1114.0,86.0,12879.814876737892
2022-07-01,BIG BEND,1619.0,94.0,1716.2148
2022-07-01,BLAINE SECTOR,37.0,2.0,0.0789
2022-07-01,BOSTON FIELD,2673.0,61.0,47.0454562145852
2022-07-01,BUFFALO FIELD,8225.0,101.0,32.2203170828118
2022-07-01,BUFFALO SECTOR,14.0,2.0,0.3425
2022-07-01,CHICAGO FIELD,2947.0,582.0,3023.2130202058634
2022-07-01,DEL RIO,49618.0,17.0,0.31179999999999997
2022-07-01,DETROIT FIELD,1171.0,144.0,2609.1210462987883
2022-07-01,DETROIT SECTOR,23.0,6.0,20.3249
2022-07-01,EL CENTRO,6707.0,11.0,368.01480000000004
2022-07-01,EL PASO,27013.0,177.0,628.8482037222149
2022-07-01,GRAND FORKS,10.0,0.0,0.0
2022-07-01,HAVRE SECTOR,1.0,0.0,0.0
2022-07-01,HOULTON SECTOR,34.0,14.0,13.8241
2022-07-01,HOUSTON FIELD,4358.0,73.0,106.1690476839714
